Date,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime
2021-09-28,0.9864173961795549,5.8635495162931025e-18,0.00010126536159816675,0.013481338458999742,0
2021-09-29,0.999669348415695,7.017530780611379e-18,3.42815439037708e-05,0.0002963700395153141,0
2021-09-30,0.9999232910514121,7.315099682489456e-20,4.527623244005988e-05,3.143271621665962e-05,0
2021-10-01,0.9998071159969886,2.17846372539658e-17,5.1587222553168276e-05,0.00014129678105982338,0
2021-10-04,0.9995334856282108,5.908402124137296e-18,4.915395710294344e-05,0.0004173604152963096,0
2021-10-05,0.9873199062591802,6.599302832030256e-15,3.719188371285329e-05,0.012642901856699458,0
2021-10-06,0.8131268085008734,2.004335117061924e-12,1.1092729585890967e-05,0.1868620987668859,0
2021-10-07,0.2702068143953172,1.466692052236826e-09,1.6673220557444416e-06,0.7297915168166788,3
2021-10-08,0.02172166316095668,2.023922512441177e-07,7.42994280098685e-07,0.9782773914522147,3
2021-10-11,0.0059700324227885855,7.315608615503464e-09,1.1665074160450815e-07,0.9940298436111823,3
2021-10-12,0.001658236146675385,1.141544355927761e-08,8.982603171017708e-09,0.9983417434559272,3
2021-10-13,0.0002149576714891559,2.596291176173885e-07,1.2789241019678772e-09,0.9997847814209435,3
2021-10-14,6.831277554459827e-05,1.2089131867672718e-06,3.9931533174482123e-10,0.9999304779114658,3
2021-10-15,1.262476297583608e-05,6.956429634922532e-05,7.976572300328975e-11,0.9999178108608557,3
2021-10-18,9.51330350349787e-06,0.00027828646898290095,5.177152475932907e-11,0.9997122001753446,3
2021-10-19,7.799544884004473e-06,0.0016352162598465678,5.293400104318106e-11,0.9983569841424448,3
2021-10-20,5.699508083489231e-06,0.0068627685885232605,4.1935197808842e-11,0.9931315318610342,3
2021-10-21,4.468444315765328e-06,0.013287152571619215,6.55855845234343e-11,0.9867083789184777,3
2021-10-22,5.0913417785306505e-06,0.012402806242050602,5.840682625783633e-11,0.9875921023576567,3
2021-10-25,5.232199388566428e-06,0.0081270352125505,7.806284014683482e-11,0.9918677325107197,3
2021-10-26,7.170184198798881e-06,0.00212033634572149,9.626771776355247e-11,0.9978724933736454,3
2021-10-27,1.3086745169025844e-05,0.00011703370800738043,1.2810207636030252e-10,0.9998698794178602,3
2021-10-28,1.776402836469671e-05,2.509203055557251e-05,8.181860058348813e-11,0.9999571438599898,3
2021-10-29,8.749124505308988e-06,0.0001639375404736559,6.400031259259432e-11,0.9998273132714478,3
2021-11-01,9.56591289008236e-06,0.00017518937315720839,5.036592595306301e-11,0.9998152446641781,3
2021-11-02,7.933077369977284e-06,0.0005792025241242961,3.889829176821294e-11,0.9994128643598551,3
2021-11-03,5.332985200838038e-06,0.0020026584854716265,7.11602036387646e-11,0.9979920084585917,3
2021-11-04,5.741947148169418e-06,0.001558219486952848,1.0587569510803147e-10,0.9984360384596915,3
2021-11-05,1.0988694678113335e-05,0.00016963419078640251,1.1492676834068718e-10,0.999819377000459,3
2021-11-08,1.7909484681670603e-05,1.7527553644702397e-05,1.584950948567359e-10,0.999964562803504,3
2021-11-09,2.7179244312372997e-05,4.605259846701598e-06,4.325182723001074e-10,0.9999682150641277,3
2021-11-10,6.693295703404102e-05,3.184719109263015e-07,2.9170764292750836e-10,0.999932748278792,3
2021-11-11,2.7453297851345414e-05,5.246374626905704e-06,7.465435311372297e-11,0.9999673002529127,3
2021-11-12,1.1921317689033642e-05,6.508612350744385e-05,7.55164085704802e-11,0.9999229924836127,3
2021-11-15,9.643606686988501e-06,0.00011209596097127458,6.544678781677276e-11,0.9998782603673484,3
2021-11-16,1.0215559357585142e-05,9.545932267703061e-05,9.817135328383552e-11,0.9998943250190373,3
2021-11-17,1.483333269452966e-05,2.735089243949796e-05,1.866847033295086e-10,0.9999578155878512,3
2021-11-18,2.9960484647939698e-05,4.452332532327421e-06,4.710621131830111e-10,0.9999655867114385,3
2021-11-19,6.371523439953514e-05,2.9303549180325473e-06,9.088827657721369e-09,0.999933345322087,3
2021-11-22,0.001273217638360094,9.078462220760725e-08,1.4638198650888617e-07,0.9987265451941696,3
2021-11-23,0.012325105393100937,3.280641722084263e-08,1.312934004544289e-06,0.9876735488671574,3
2021-11-24,0.07326196848850967,1.987473640270922e-09,1.6243126674379506e-05,0.9267217863981676,3
2021-11-26,0.9994462503297339,7.965339024863812e-35,0.0005537328801263074,1.6790357232621917e-08,0
2021-11-29,0.9998138423979631,2.815676671410398e-27,0.00018487660442475696,1.2809973186748999e-06,0
2021-11-30,0.9986925390787882,1.3842210474693346e-35,0.001307459552176681,1.3693121441906987e-09,0
2021-12-01,0.9931471399388085,8.969735818448483e-53,0.00685286006182222,9.07693693563905e-16,0
2021-12-02,0.9943614231748076,1.8304781609951197e-50,0.005638576825545272,2.9906342055667055e-13,0
2021-12-03,0.9944774786598427,9.295693277833399e-55,0.005522521339562307,2.893372915044154e-15,0
2021-12-06,0.9986263825865337,1.2638930959026767e-45,0.0013736174042571587,9.447660970722205e-12,0
2021-12-07,0.9997036278529248,4.991983685562392e-26,0.00022553019934372216,7.084194682636572e-05,0
2021-12-08,0.9699624804851965,3.856822866543261e-13,7.466222827050566e-05,0.029962857286346765,0
2021-12-09,0.960629402927855,1.1092392752129837e-12,4.844603301674099e-05,0.03932215103779226,0
2021-12-10,0.9233502590119087,2.2587570722625194e-09,0.00012037582497472486,0.07652936290462928,0
2021-12-13,0.9324583546932488,7.038378239474326e-11,8.488513461071969e-05,0.06745676010135948,0
2021-12-14,0.9695831116439501,3.217629786264817e-13,4.805809613736221e-05,0.030368830259967255,0
2021-12-15,0.9724379641255214,3.425315918696847e-11,0.00012152623555070401,0.02744050960396207,0
